chousonLabel,code,gunLabel
大和村,465232,大島郡
宇検村,465241,大島郡
瀬戸内町,465259,大島郡
龍郷町,465275,大島郡
喜界町,465291,大島郡
徳之島町,465305,大島郡
天城町,465313,大島郡
伊仙町,465321,大島郡
和泊町,465330,大島郡
知名町,465348,大島郡
与論町,465356,大島郡
国頭村,473014,国頭郡
大宜味村,473022,国頭郡
東村,473031,国頭郡
今帰仁村,473065,国頭郡
本部町,473081,国頭郡
恩納村,473111,国頭郡
宜野座村,473138,国頭郡
金武町,473146,国頭郡
伊江村,473154,国頭郡
読谷村,473243,中頭郡
嘉手納町,473251,中頭郡
北谷町,473260,中頭郡
北中城村,473278,中頭郡
中城村,473286,中頭郡
西原町,473294,中頭郡
与那原町,473481,島尻郡
南風原町,473502,島尻郡
渡嘉敷村,473537,島尻郡
座間味村,473545,島尻郡
粟国村,473553,島尻郡
渡名喜村,473561,島尻郡
南大東村,473570,島尻郡
北大東村,473588,島尻郡
伊平屋村,473596,島尻郡
伊是名村,473600,島尻郡
久米島町,473618,島尻郡
八重瀬町,473626,島尻郡
多良間村,473758,宮古郡
竹富町,473812,八重山郡
与那国町,473821,八重山郡
